state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
Michigan,2003,16,0.8,0.8,125,0.0525328,0.1163227,0.7879925,0.043152,0.097561,0.3170732,0.2851782,0.3001876
Michigan,2004,51,2.4,2.4,125,0.0444444,0.1074074,0.7851852,0.062963,0.0925926,0.2944444,0.2592593,0.3537037
Michigan,2005,38,1.8,1.8,200,0.0615883,0.1183144,0.7617504,0.0583468,0.1377634,0.3144246,0.232577,0.315235
Michigan,2006,26,1.3,1.3,200,0.0632911,0.1130802,0.7586498,0.0649789,0.1265823,0.3316456,0.2514768,0.2902954
Michigan,2007,30,1.5,1.5,200,0.0608333,0.1091667,0.7625,0.0675,0.1175,0.3275,0.235,0.32
Michigan,2008,25,1.3,1.3,200,0.0501672,0.1120401,0.7775919,0.0602007,0.1078595,0.3252508,0.2558528,0.3110368
Michigan,2009,27,1.4,1.4,200,0.0575731,0.1266608,0.7635075,0.0522586,0.0965456,0.3250664,0.2701506,0.3082374
Michigan,2010,37,1.9,1.9,200,0.0584416,0.1261595,0.7532467,0.0621521,0.1187384,0.3200371,0.255102,0.3061225
Michigan,2011,27,1.4,1.4,200,0.064,0.113,0.763,0.06,0.114,0.312,0.256,0.318
Michigan,2012,24,1.3,1.3,200,0.0621814,0.1223242,0.7441387,0.0713558,0.088685,0.3353721,0.2782875,0.2976555
Michigan,2013,29,1.5,1.5,200,0.0512351,0.1216834,0.7593778,0.0677036,0.0832571,0.3064959,0.2863678,0.3238792
Michigan,2014,24,1.3,1.3,200,0.0424128,0.1404335,0.7530631,0.0640905,0.0829406,0.3034873,0.3091423,0.3044298
Michigan,2015,25,1.3,1.3,200,0.0533736,0.1168177,0.7663646,0.0634441,0.0976838,0.2920443,0.2809668,0.3293051
Michigan,2016,38,2,2,200,0.0675944,0.0914513,0.7733598,0.0675944,0.0884692,0.2952286,0.2952286,0.3210736
Minnesota,2009,11,1,1,148.5,0.0485133,0.0453834,0.8341158,0.0719875,0.0610329,0.2644757,0.3067293,0.3677621
Minnesota,2012,11,1.1,1.1,158.6,0.0407166,0.0570033,0.8061889,0.0960912,0.0814332,0.2166124,0.3045603,0.3973942
